Datetime,TweetID,Text,Likes
2023-10-08 11:59:34.2000885 +0000 UTC,1653786351228055552,"[1/8] How does the brain develop the ability to predict the next frame of a movie? \n\nIn an #ICLR2023 paper [w/ Elias Issa], we showed the link between robustness to noise on input images and the temporal straightening of movies. \n\nhttps://t.co/0dNvlftNE0 https://t.co/8QBWBcRmkr",147
2023-10-08 11:59:35.0461369 +0000 UTC,1543315251327901696,Conservatives: when did #startrek get all woke and political?\nStar Trek in 1989: https://t.co/CtgSAPYtEk,93720
2023-10-08 11:59:35.6821732 +0000 UTC,1670168324322340864,Gene's vision was men being allowed to dress like this if they wanted to. #startrek https://t.co/F83UxftMOU,3710
2023-10-08 11:59:36.220204 +0000 UTC,1663999865397952514,Star Trek has been woke since 1966. You're just a bigot. https://t.co/ptkVSIDRHK,15507
2023-10-08 11:59:37.5792818 +0000 UTC,1674360288445964288,"In today's #vatniksoup, I'll introduce a South African-American(!) businessman and social media figure, Elon Musk (@elonmusk). He's best-known for being the wealthiest man in the world, running Tesla Inc., SpaceX &amp; Twitter, and for parroting Kremlin's propaganda narratives.\n\n1/24 https://t.co/BSFuEcFjQQ",245416
2023-10-08 12:00:11.1622026 +0000 UTC,1653786351228055552,"[1/8] How does the brain develop the ability to predict the next frame of a movie? \n\nIn an #ICLR2023 paper [w/ Elias Issa], we showed the link between robustness to noise on input images and the temporal straightening of movies. \n\nhttps://t.co/0dNvlftNE0 https://t.co/8QBWBcRmkr",147
2023-10-08 12:00:11.903245 +0000 UTC,1543315251327901696,Conservatives: when did #startrek get all woke and political?\nStar Trek in 1989: https://t.co/CtgSAPYtEk,93720
2023-10-08 12:00:12.4012735 +0000 UTC,1670168324322340864,Gene's vision was men being allowed to dress like this if they wanted to. #startrek https://t.co/F83UxftMOU,3709
2023-10-08 12:00:13.0293094 +0000 UTC,1663999865397952514,Star Trek has been woke since 1966. You're just a bigot. https://t.co/ptkVSIDRHK,15507
2023-10-08 12:00:14.1473733 +0000 UTC,1674360288445964288,"In today's #vatniksoup, I'll introduce a South African-American(!) businessman and social media figure, Elon Musk (@elonmusk). He's best-known for being the wealthiest man in the world, running Tesla Inc., SpaceX &amp; Twitter, and for parroting Kremlin's propaganda narratives.\n\n1/24 https://t.co/BSFuEcFjQQ",245422
